date,open,high,low,close,volume
2019-08-05,3.63,3.63,3.57,3.58,1180937.0
2019-08-02,3.65,3.65,3.63,3.64,1012163.0
2019-08-01,3.7,3.71,3.67,3.68,991038.0
2019-07-31,3.71,3.71,3.7,3.71,570456.0
2019-07-30,3.7,3.72,3.69,3.72,834793.0
2019-07-29,3.7,3.71,3.69,3.7,603863.0
2019-07-26,3.69,3.71,3.69,3.7,585452.0
2019-07-25,3.7,3.71,3.69,3.7,823250.0
2019-07-24,3.7,3.71,3.69,3.69,718845.0
2019-07-23,3.67,3.7,3.66,3.69,818694.0
2019-07-22,3.68,3.69,3.66,3.67,881485.0
2019-07-19,3.66,3.68,3.65,3.67,862782.0
2019-07-18,3.66,3.67,3.65,3.65,642862.0
2019-07-17,3.68,3.69,3.67,3.67,604066.0
2019-07-16,3.7,3.7,3.68,3.69,627449.0
2019-07-15,3.71,3.72,3.67,3.7,1023496.0
2019-07-12,3.71,3.72,3.7,3.72,876352.0
2019-07-11,3.71,3.72,3.7,3.71,534319.0
2019-07-10,3.71,3.71,3.69,3.7,593449.0
2019-07-09,3.71,3.72,3.7,3.71,704486.0
2019-07-08,3.74,3.75,3.7,3.71,1457831.0
2019-07-05,3.76,3.77,3.72,3.75,1306967.0
2019-07-04,3.77,3.78,3.75,3.77,867535.0
2019-07-03,3.77,3.78,3.75,3.77,1077087.0
2019-07-02,3.75,3.77,3.75,3.77,961595.0
2019-07-01,3.77,3.78,3.75,3.76,1209103.0
2019-06-28,3.75,3.75,3.72,3.74,748333.0
2019-06-27,3.75,3.77,3.74,3.75,1010140.0
2019-06-26,3.75,3.75,3.73,3.74,787183.0
2019-06-25,3.78,3.79,3.74,3.75,1120232.0
2019-06-24,3.77,3.78,3.75,3.78,800720.0
2019-06-21,3.8,3.82,3.77,3.77,1705513.0
2019-06-20,3.78,3.82,3.77,3.81,1628549.0
2019-06-19,3.79,3.81,3.77,3.78,1364942.0
2019-06-18,3.75,3.76,3.73,3.76,662740.0
2019-06-17,3.74,3.75,3.72,3.74,593174.0
2019-06-14,3.74,3.74,3.72,3.73,672997.0
2019-06-13,3.73,3.75,3.71,3.73,779231.0
2019-06-12,3.75,3.75,3.72,3.73,869146.0
2019-06-11,3.75,3.77,3.74,3.76,1202787.0
2019-06-10,3.72,3.76,3.72,3.74,961242.0
2019-06-06,3.73,3.74,3.71,3.72,816815.0
2019-06-05,3.71,3.74,3.7,3.72,929622.0
2019-06-04,3.7,3.7,3.68,3.7,743965.0
2019-06-03,3.71,3.71,3.67,3.7,1463386.0
2019-05-31,3.89,3.91,3.86,3.88,1738628.0
2019-05-30,3.85,3.89,3.84,3.89,1701937.0
2019-05-29,3.83,3.87,3.82,3.84,1393843.0
2019-05-28,3.81,3.85,3.81,3.84,1455161.0
2019-05-27,3.79,3.83,3.78,3.81,1330060.0
2019-05-24,3.78,3.81,3.76,3.79,1776987.0
2019-05-23,3.8,3.84,3.74,3.79,3281540.0
2019-05-22,3.8,3.83,3.79,3.81,1053886.0
2019-05-21,3.78,3.83,3.78,3.8,1390619.0
2019-05-20,3.73,3.87,3.71,3.82,4412539.0
2019-05-17,3.77,3.78,3.73,3.73,1300947.0
2019-05-16,3.73,3.81,3.71,3.78,2704991.0
2019-05-15,3.7,3.8,3.69,3.75,2382684.0
2019-05-14,3.68,3.71,3.68,3.68,1242213.0
2019-05-13,3.72,3.78,3.65,3.71,2991160.0
2019-05-10,3.71,3.77,3.7,3.75,1338765.0
2019-05-09,3.71,3.73,3.69,3.69,1313930.0
2019-05-08,3.74,3.75,3.71,3.72,1406953.0
2019-05-07,3.79,3.8,3.75,3.78,1601775.0
2019-05-06,3.85,3.85,3.75,3.78,2794927.0
2019-04-30,3.89,3.9,3.85,3.89,1202558.0
2019-04-29,3.87,3.91,3.86,3.89,1303281.0
2019-04-26,3.87,3.89,3.84,3.86,1881078.0
2019-04-25,3.9,3.91,3.87,3.89,1802659.0
2019-04-24,3.96,3.96,3.88,3.91,1584829.0
2019-04-23,3.93,3.97,3.92,3.95,1795671.0
2019-04-22,4.04,4.05,3.92,3.93,1960127.0
2019-04-19,4.01,4.04,4.0,4.03,1403952.0
2019-04-18,4.02,4.05,3.98,4.0,1321604.0
2019-04-17,4.0,4.06,3.96,4.03,2658861.0
2019-04-16,3.88,4.01,3.86,4.0,4150152.0
2019-04-15,3.91,3.97,3.89,3.89,2521874.0
2019-04-12,3.87,3.89,3.85,3.87,1204182.0
2019-04-11,3.86,3.88,3.84,3.86,1674000.0
2019-04-10,3.86,3.88,3.83,3.86,1537021.0
2019-04-09,3.89,3.9,3.86,3.87,1441181.0
2019-04-08,3.91,3.96,3.87,3.9,2570907.0
2019-04-04,3.85,3.89,3.84,3.89,2279007.0
2019-04-03,3.81,3.85,3.79,3.84,1603882.0
2019-04-02,3.84,3.86,3.81,3.83,1891844.0
2019-04-01,3.79,3.85,3.78,3.83,2582306.0
2019-03-29,3.71,3.79,3.71,3.77,1791174.0
2019-03-28,3.72,3.73,3.69,3.71,1087031.0
2019-03-27,3.73,3.75,3.72,3.73,1058660.0
2019-03-26,3.75,3.75,3.71,3.72,1250035.0
2019-03-25,3.78,3.79,3.73,3.73,1880806.0
2019-03-22,3.8,3.82,3.78,3.8,1419561.0
2019-03-21,3.8,3.82,3.79,3.79,1713723.0
2019-03-20,3.81,3.82,3.77,3.79,1648941.0
2019-03-19,3.84,3.85,3.8,3.81,1601599.0
2019-03-18,3.79,3.84,3.77,3.84,2130221.0
2019-03-15,3.79,3.82,3.78,3.79,1518034.0
2019-03-14,3.8,3.83,3.77,3.79,1289655.0
